"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ma (10,C,ema,0)","MA ma (200,C,ma,0)"
"2026-01-02T08:00:00.000Z","189.84","192.93","188.26","188.85","1.26","1.09","148,240,462","186.04","160.49"
"2026-01-05T08:00:00.000Z","191.76","193.63","186.15","188.12","-0.3866","-0.5526","183,529,733","186.42","160.85"
"2026-01-06T08:00:00.000Z","190.52","192.17","186.82","187.24","-0.4678","-0.6338","176,862,604","186.57","161.19"
"2026-01-07T08:00:00.000Z","188.57","191.37","186.56","189.11","0.9987","0.8327","153,543,174","187.03","161.55"
"2026-01-08T08:00:00.000Z","189.11","189.55","183.71","185.04","-2.15","-2.32","172,457,048","186.67","161.87"
"2026-01-09T08:00:00.000Z","185.08","186.34","183.67","184.86","-0.0973","-0.2633","131,327,534","186.34","162.19"
"2026-01-12T08:00:00.000Z","183.22","187.12","183.02","184.94","0.0433","-0.1227","137,968,453","186.09","162.54"
"2026-01-13T08:00:00.000Z","185.00","188.11","183.40","185.81","0.4704","0.3044","160,128,939","186.04","162.92"
"2026-01-14T08:00:00.000Z","184.32","184.46","180.80","183.14","-1.44","-1.60","159,586,135","185.51","163.28"
"2026-01-15T08:00:00.000Z","186.50","189.70","186.33","187.05","2.13","1.97","206,188,642","185.79","163.68"
"2026-01-16T08:00:00.000Z","189.07","190.44","186.08","186.23","-0.4384","-0.6044","187,967,169","185.87","164.06"
"2026-01-20T08:00:00.000Z","181.90","182.38","177.61","178.07","-4.38","-4.55","223,345,257","184.45","164.39"
"2026-01-21T08:00:00.000Z","179.05","185.38","178.40","183.32","2.95","2.78","200,380,959","184.25","164.80"
"2026-01-22T08:00:00.000Z","184.75","186.17","183.93","184.84","0.8292","0.6631","139,636,626","184.35","165.25"
"2026-01-23T08:00:00.000Z","187.50","189.60","186.82","187.67","1.53","1.37","142,748,076","184.96","165.71"
"2026-01-26T08:00:00.000Z","187.16","189.12","185.99","186.47","-0.6394","-0.8054","124,799,649","185.23","166.16"
"2026-01-27T08:00:00.000Z","187.24","190.00","185.70","188.52","1.10","0.9334","143,711,557","185.83","166.53"
"2026-01-28T08:00:00.000Z","191.27","192.35","189.84","191.52","1.59","1.43","148,552,677","186.86","166.95"
"2026-01-29T08:00:00.000Z","191.34","193.48","186.06","192.51","0.5169","0.3509","171,764,375","187.89","167.35"
